objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
lament001,desktop.jpeg,,,Lament: Overwhelmed ,Kathleen Childs,2022-8-16,"Photograph of a drawing done in ballpoint pen, paint pen, sharpie, pencil, and marker. The drawing is a representation of what it is like for the artist to feel overwhelmed. ",art;lamentation (art);christian art and symbolism,,,,,,,image/jpeg,,,
lament002,who.jpeg,,,Lament: Who am I?,Kathleen Childs,2022-9-15,Photograph of a drawing done in ballpoint pen and paint pen. The drawing is a manifestation of the artists questions of self identity. ,art;lamentation (art);christian art and symbolism,,,,,,,image/jpeg,,,
lament003,profile.jpeg,,,Lament: Self Portrait #3,Kathleen Childs,2022-10-9,Photograph of a drawing done in ballpoint pen. The drawing is a self portrait of the artist in profile. ,art;lamentation (art);christian art and symbolism,,,,,,,image/jpeg,,,
lament004,grief.jpeg,,,Lament: Grief,Kathleen Childs,2022-10-11,Photograph of a drawing done in ballpoint pen and paint pen. The drawing is a representation of the artist's experience with grief. ,art;lamentation (art);christian art and symbolism,,,,,,,image/jpeg,,,
lament005,hands.jpeg,,,Lament: Creation,Kathleen Childs,2022-10-13,Photograph of a drawing done in ballpoint pen and paint pen. The drawing is of the artists hands as she reflects on them as the tools of her trade as an artist. ,art;lamentation (art);christian art and symbolism,,,,,,,image/jpeg,,,
lament006,redsweater.jpeg,,,Lament: Self Portrait #6,Kathleen Childs,2022-10-16,Photograph of a drawing done in ballpoint pen. The drawing is a self portrait of the artist obscuring her face. ,art;lamentation (art);christian art and symbolism,,,,,,,image/jpeg,,,
lament007,small.jpeg,,,Lament: Lonely,Kathleen Childs,2022-10-16,Photograph of a drawing done in ballpoint pen. The drawing is a representation of the artists experience with loneliness. ,art;lamentation (art);christian art and symbolism,,,,,,,image/jpeg,,,
lament008,Joy.jpeg,,,Lament: Joy,Kathleen Childs,2022-10-20,Photograph of a drawing done in ballpoint pen and paint pen. The drawing is an outlier in this collection as it represents joy and hope in the middle of a dark time.  ,art;lamentation (art);christian art and symbolism,,,,,,,image/jpeg,,,
lament009,pencil.jpeg,,,Lament: Self Portrait #9,Kathleen Childs,2022-10-24,Photograph of a drawing done in pencil. The drawing is a self portrait of the artist. ,art;lamentation (art);christian art and symbolism,,,,,,,image/jpeg,,,
lament010,dorm.jpeg,,,Lament: Fear,Kathleen Childs,2022-10-26,Photograph of a drawing done in ballpoint pen and sharpie. The drawing is a representation of the debilitating fear the artist felt when she considered leaving her room. ,art;lamentation (art);christian art and symbolism,,,,,,,image/jpeg,,,
lament011,imposter.jpeg,,,Lament: Imposter,Kathleen Childs,2022-10-26,Photograph of a drawing done in ballpoint pen and paint pen. The drawing is a reflection on her fears that she has led people to believe she is someone she is not. ,art;lamentation (art);christian art and symbolism,,,,,,,image/jpeg,,,
lament012,alltogether.jpeg,,,Lament: All eighteen components,Kathleen Childs,2022-11-4,Photograph of all eighteen components of the Lament series created by Kathleen Childs. ,art;lamentation (art);christian art and symbolism,,,,,,,image/jpeg,,,
